GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
order-service,com.nhom1.order_service.domain,Order,0,40,1,1,0,14,1,7,0,7
order-service,com.nhom1.order_service.domain,OrderLineItems,3,31,0,0,1,13,1,9,1,9
order-service,com.nhom1.order_service.controller,OrderController,0,24,0,0,0,6,0,3,0,3
order-service,com.nhom1.order_service.integration,InventoryServiceClient,12,122,6,12,3,29,5,10,0,6
order-service,com.nhom1.order_service.dto,CreateOrderRequest,0,10,0,0,0,4,0,3,0,3
order-service,com.nhom1.order_service.dto,OrderLineItemResponse,0,31,0,0,0,13,0,9,0,9
order-service,com.nhom1.order_service.dto,OrderResponse,0,24,0,0,0,10,0,7,0,7
order-service,com.nhom1.order_service.dto,CreateOrderLineItemRequest,0,24,0,0,0,10,0,7,0,7
order-service,com.nhom1.order_service.dto,ApiMessageResponse,4,9,0,0,2,4,1,2,1,2
order-service,com.nhom1.order_service.listener,OrderEventProducer,17,13,0,0,4,5,1,2,1,2
order-service,com.nhom1.order_service.exception,InventoryServiceUnavailableException,0,5,0,0,0,2,0,1,0,1
order-service,com.nhom1.order_service.exception,ApiError,0,27,0,0,0,10,0,5,0,5
order-service,com.nhom1.order_service.exception,OutOfStockException,0,4,0,0,0,2,0,1,0,1
order-service,com.nhom1.order_service.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
order-service,com.nhom1.order_service.exception,GlobalExceptionHandler,0,69,0,2,0,13,0,6,0,5
order-service,com.nhom1.order_service,OrderServiceApplication,5,3,0,0,2,1,1,1,1,1
order-service,com.nhom1.order_service.service.impl,OrderServiceImpl,2,170,1,3,1,49,1,10,0,9
order-service,com.nhom1.order_service.config,InventoryClientConfig,0,8,0,0,0,4,0,2,0,2
